,ques,ans,ans2
213,1997年までに39口の銅鐸が出土し、1つの遺跡としては最も多くの銅鐸が出土した遺跡として知られる、島根県雲南市にある弥生時代の遺跡は何遺跡でしょう？,加茂岩倉遺跡,かもいわくら
214,映画『スター・ウォーズ』シリーズで、ハン・ソロの相棒として彼と行動をともにするウーキー族の戦士の名前は何でしょう？,チューバッカ,チューバッカ
215,三酸化クロムや二クロム酸カリウムなどに含まれ、強い毒性と酸化力を持つ、酸化数が+6であるクロムのことを一般に何というでしょう？,六価クロム,ろっかクロム
216,しいら座、みつばち座などを含む天の南極付近の12星座の総称にその名を残す、1603年に世界初の星図書『ウラノメトリア』を著し、星座内の星にギリシャ文字などの符号を割りふる命名法を考案したドイツの法律家は誰でしょう？,ヨハン・バイエル,バイエル
217,アジアの国・中国の標準時間帯はいくつあるでしょう？,1つ,1
218,芦屋市は兵庫県にある自治体ですが、芦屋町はどこの都道府県にある自治体でしょう？,福岡県,ふくおか
219,損失につながると分かっていながら、それまでの投資を惜しむあまり投資をやめられなくなる心理現象を、商業的に失敗した超音速旅客機の名前から何効果と呼ぶでしょう？,コンコルド効果,コンコルド
220,日本では香川県のニューレオマワールドにある「マジックストロー」が最も長い、人や荷物を上下に運ぶ階段状の昇降装置を英語で何というでしょう？,エスカレーター,エスカレーター
221,東京プラス株式会社の代表取締役や有限会社未来検索ブラジルの取締役を務めている、1999年に匿名掲示板「2ちゃんねる」を開設した人物は誰でしょう？,西村博之,にしむらひろゆき
222,漫画家で、藤子・F・不二雄の本名といえば藤本弘ですが、藤子不二雄Aの本名といえば何でしょう？,安孫子素雄,あびこもとお
223,1人の歌い手が高い声と低い声を同時に出すモンゴル民謡における特有の歌唱法を何というでしょう？,ホーミー,ホーミー
224,スウィフトの小説『ガリバー旅行記』の第4篇に登場する、フウイヌムという馬の姿の生き物に支配されている人間のような姿の生き物は何でしょう？,ヤフー,ヤフー
225,大相撲では黒星を指す言葉としても使われる、炭を練りこんだ団子状の燃料を漢字2文字で何というでしょう？,炭団,たどん
226,画家エル・グレコが多くの作品を制作した地としても知られる、かつて西ゴート王国やカスティーリャ王国の首都だったスペイン中部の城塞都市はどこでしょう？,トレド,トレド
227,サッカーなどの試合前に出場選手とともに入場する子供のことを、「同伴者」といった意味の英語を使って「何キッズ」というでしょう？,エスコートキッズ,エスコート
228,関門国道トンネルの開通、東京タワー開業、現在の上皇・上皇后両陛下のご婚約発表による「ミッチー・ブーム」到来といえばいずれも西暦何年の出来事でしょう？,1958年,1958
229,フランス語で「塗り絵」という意味がある、日本の女性の間でも癒し効果があるとしてブームになったフランス発祥の大人向けの塗り絵を何というでしょう？,コロリアージュ,コロリアージュ
230,建物が何も立っていない土地を更地というのに対し、建物が既に立っている土地を何というでしょう？,建付地,たてつけち
231,1979年にはコーリン・キング賞を受賞している日本のデザイナーで、主な作品に「東京都シンボルマーク」や「キッコーマン卓上醤油瓶」があるのは誰でしょう？,榮久庵憲司,えくあんけんじ
232,カンヌ国際映画祭の最高賞パルム・ドールを、『楢山節考』と『うなぎ』で、日本人監督として唯一2度獲得している人物は誰でしょう？,今村昌平,いまむらしょうへい
233,オリエンタルランドの筆頭株主でもある、千葉中央駅とちはら台駅を結ぶ千原線や、上野駅と成田空港駅を結ぶ本線などを保有する鉄道会社は何でしょう？,京成電鉄,けいせい
234,大阪市東淀川区にある瑞光寺・弘済池に架かる、日本で唯一クジラの骨が使われているとされる橋の名前は何でしょう？,雪鯨橋,せつげいきょう
235,奈良時代に都を中心に流行した、仏教と唐の文化の影響を強く受けた文化を、聖武天皇の頃の元号にちなんで「何文化」というでしょう？,天平文化,てんぴょう
236,1889年にハワイ王国第7代カラカウア王により公表された、ハワイ王家に代々受け継がれていた創世神話のことを、「起源」を意味するハワイ語で何というでしょう？,クムリポ,クムリポ
237,本名を片根紀子といい、ペンネームは出身地の尼崎市にちなむものである、代表作にアニメ『忍たま乱太郎』の原作である『落第忍者乱太郎』がある漫画家は誰でしょう？,尼子騒兵衛,あまこそうべえ
